yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,datavaluetype,stratificationcategory1,stratification1,locationid,topicid,questionid,datavaluetypeid,stratificationcategoryid1,stratificationid1
2018,2018,CO,Colorado,NVSS,Alcohol,Chronic liver disease mortality,Crude Rate,Overall,Overall,08,ALC,ALC6_0,CRDRATE,OVERALL,OVR
2019,2019,CO,Colorado,NVSS,Alcohol,Chronic liver disease mortality,Crude Rate,Race/Ethnicity,Hispanic,08,ALC,ALC6_0,CRDRATE,RACE,HIS
2014,2014,CT,Connecticut,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,09,ALC,ALC6_0,NMBR,OVERALL,OVR
2020,2020,DC,District of Columbia,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,11,ALC,ALC6_0,NMBR,OVERALL,OVR
2015,2015,DC,District of Columbia,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,11,ALC,ALC6_0,NMBR,GENDER,GENF
2017,2017,DC,District of Columbia,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,11,ALC,ALC6_0,NMBR,OVERALL,OVR
2010,2010,DE,Delaware,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"White, non-Hispanic",10,ALC,ALC6_0,NMBR,RACE,WHT
2016,2016,DE,Delaware,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,10,ALC,ALC6_0,NMBR,GENDER,GENF
2020,2020,FL,Florida,NVSS,Alcohol,Chronic liver disease mortality,Age-adjusted Rate,Overall,Overall,12,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR
2012,2012,FL,Florida,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"Black, non-Hispanic",12,ALC,ALC6_0,NMBR,RACE,BLK
2017,2017,GA,Georgia,NVSS,Alcohol,Chronic liver disease mortality,Age-adjusted Rate,Gender,Female,13,ALC,ALC6_0,AGEADJRATE,GENDER,GENF
2011,2011,HI,Hawaii,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,15,ALC,ALC6_0,NMBR,GENDER,GENM
2010,2010,IA,Iowa,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"White, non-Hispanic",19,ALC,ALC6_0,NMBR,RACE,WHT
2011,2011,IA,Iowa,NVSS,Alcohol,Chronic liver disease mortality,Crude Rate,Gender,Male,19,ALC,ALC6_0,CRDRATE,GENDER,GENM
2017,2017,IA,Iowa,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,19,ALC,ALC6_0,NMBR,GENDER,GENM
2014,2014,ID,Idaho,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,16,ALC,ALC6_0,NMBR,GENDER,GENF
2015,2015,ID,Idaho,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,16,ALC,ALC6_0,NMBR,GENDER,GENM
2010,2010,IN,Indiana,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,18,ALC,ALC6_0,NMBR,GENDER,GENF
2020,2020,KS,Kansas,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"White, non-Hispanic",20,ALC,ALC6_0,NMBR,RACE,WHT
2015,2015,KS,Kansas,NVSS,Alcohol,Chronic liver disease mortality,Age-adjusted Rate,Gender,Male,20,ALC,ALC6_0,AGEADJRATE,GENDER,GENM
2012,2012,KY,Kentucky,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,21,ALC,ALC6_0,NMBR,OVERALL,OVR
2011,2011,LA,Louisiana,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,22,ALC,ALC6_0,NMBR,OVERALL,OVR
2015,2015,LA,Louisiana,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"Black, non-Hispanic",22,ALC,ALC6_0,NMBR,RACE,BLK
2010,2010,MA,Massachusetts,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"Black, non-Hispanic",25,ALC,ALC6_0,NMBR,RACE,BLK
2011,2011,MA,Massachusetts,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"White, non-Hispanic",25,ALC,ALC6_0,NMBR,RACE,WHT
2012,2012,MA,Massachusetts,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,25,ALC,ALC6_0,NMBR,GENDER,GENM
2013,2013,MA,Massachusetts,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,25,ALC,ALC6_0,NMBR,GENDER,GENM
2012,2012,ME,Maine,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,23,ALC,ALC6_0,NMBR,GENDER,GENM
2011,2011,MI,Michigan,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,26,ALC,ALC6_0,NMBR,GENDER,GENM
2013,2013,MI,Michigan,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,26,ALC,ALC6_0,NMBR,GENDER,GENF
2020,2020,MN,Minnesota,NVSS,Alcohol,Chronic liver disease mortality,Age-adjusted Rate,Race/Ethnicity,"Black, non-Hispanic",27,ALC,ALC6_0,AGEADJRATE,RACE,BLK
2012,2012,MN,Minnesota,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,27,ALC,ALC6_0,NMBR,GENDER,GENM
2018,2018,MN,Minnesota,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"Black, non-Hispanic",27,ALC,ALC6_0,NMBR,RACE,BLK
2019,2019,MN,Minnesota,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"Black, non-Hispanic",27,ALC,ALC6_0,NMBR,RACE,BLK
2014,2014,MO,Missouri,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,29,ALC,ALC6_0,NMBR,GENDER,GENF
2020,2020,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,Hispanic,28,ALC,ALC6_0,NMBR,RACE,HIS
2017,2017,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,28,ALC,ALC6_0,NMBR,GENDER,GENM
2010,2010,MT,Montana,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,30,ALC,ALC6_0,NMBR,GENDER,GENF
2015,2015,MT,Montana,NVSS,Alcohol,Chronic liver disease mortality,Age-adjusted Rate,Gender,Male,30,ALC,ALC6_0,AGEADJRATE,GENDER,GENM
2014,2014,ND,North Dakota,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,38,ALC,ALC6_0,NMBR,GENDER,GENM
2017,2017,ND,North Dakota,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,38,ALC,ALC6_0,NMBR,OVERALL,OVR
2018,2018,ND,North Dakota,NVSS,Alcohol,Chronic liver disease mortality,Age-adjusted Rate,Gender,Male,38,ALC,ALC6_0,AGEADJRATE,GENDER,GENM
2011,2011,NE,Nebraska,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"White, non-Hispanic",31,ALC,ALC6_0,NMBR,RACE,WHT
2017,2017,NE,Nebraska,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,31,ALC,ALC6_0,NMBR,GENDER,GENF
2012,2012,NH,New Hampshire,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,33,ALC,ALC6_0,NMBR,GENDER,GENM
2016,2016,NH,New Hampshire,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,33,ALC,ALC6_0,NMBR,GENDER,GENM
2011,2011,NJ,New Jersey,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,34,ALC,ALC6_0,NMBR,OVERALL,OVR
2013,2013,NM,New Mexico,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,35,ALC,ALC6_0,NMBR,GENDER,GENM
2015,2015,NM,New Mexico,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,35,ALC,ALC6_0,NMBR,GENDER,GENF
2010,2010,NV,Nevada,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,32,ALC,ALC6_0,NMBR,GENDER,GENM
2015,2015,NY,New York,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,36,ALC,ALC6_0,NMBR,GENDER,GENF
2015,2015,OH,Ohio,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"White, non-Hispanic",39,ALC,ALC6_0,NMBR,RACE,WHT
2018,2018,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,Crude Rate,Race/Ethnicity,"White, non-Hispanic",40,ALC,ALC6_0,CRDRATE,RACE,WHT
2018,2018,PA,Pennsylvania,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,42,ALC,ALC6_0,NMBR,GENDER,GENF
2011,2011,RI,Rhode Island,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,44,ALC,ALC6_0,NMBR,GENDER,GENF
2011,2011,RI,Rhode Island,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,44,ALC,ALC6_0,NMBR,OVERALL,OVR
2018,2018,RI,Rhode Island,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"White, non-Hispanic",44,ALC,ALC6_0,NMBR,RACE,WHT
2011,2011,SC,South Carolina,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,45,ALC,ALC6_0,NMBR,GENDER,GENM
2014,2014,SC,South Carolina,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"Black, non-Hispanic",45,ALC,ALC6_0,NMBR,RACE,BLK
2015,2015,SC,South Carolina,NVSS,Alcohol,Chronic liver disease mortality,Crude Rate,Race/Ethnicity,"White, non-Hispanic",45,ALC,ALC6_0,CRDRATE,RACE,WHT
2013,2013,SD,South Dakota,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,46,ALC,ALC6_0,NMBR,GENDER,GENM
2017,2017,SD,South Dakota,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,46,ALC,ALC6_0,NMBR,GENDER,GENF
2013,2013,TN,Tennessee,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,47,ALC,ALC6_0,NMBR,GENDER,GENM
2015,2015,TN,Tennessee,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,47,ALC,ALC6_0,NMBR,GENDER,GENF
2014,2014,TX,Texas,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,Hispanic,48,ALC,ALC6_0,NMBR,RACE,HIS
2015,2015,TX,Texas,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,48,ALC,ALC6_0,NMBR,GENDER,GENM
2016,2016,TX,Texas,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,48,ALC,ALC6_0,NMBR,OVERALL,OVR
2019,2019,TX,Texas,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,Hispanic,48,ALC,ALC6_0,NMBR,RACE,HIS
2018,2018,UT,Utah,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,49,ALC,ALC6_0,NMBR,OVERALL,OVR
2019,2019,UT,Utah,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,49,ALC,ALC6_0,NMBR,OVERALL,OVR
2014,2014,VA,Virginia,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,51,ALC,ALC6_0,NMBR,OVERALL,OVR
2013,2013,WA,Washington,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,Asian or Pacific Islander,53,ALC,ALC6_0,NMBR,RACE,API
2014,2014,WA,Washington,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,53,ALC,ALC6_0,NMBR,GENDER,GENF
2013,2013,WI,Wisconsin,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,55,ALC,ALC6_0,NMBR,GENDER,GENM
2019,2019,WI,Wisconsin,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,Hispanic,55,ALC,ALC6_0,NMBR,RACE,HIS
2019,2019,WV,West Virginia,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,54,ALC,ALC6_0,NMBR,OVERALL,OVR
2020,2020,WY,Wyoming,NVSS,Alcohol,Chronic liver disease mortality,Crude Rate,Gender,Male,56,ALC,ALC6_0,CRDRATE,GENDER,GENM
2012,2012,WY,Wyoming,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"White, non-Hispanic",56,ALC,ALC6_0,NMBR,RACE,WHT
2015,2015,WY,Wyoming,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,56,ALC,ALC6_0,NMBR,GENDER,GENF
2013,2013,IN,Indiana,NVSS,Cardiovascular Disease,Mortality from heart failure,Crude Rate,Gender,Male,18,CVD,CVD1_4,CRDRATE,GENDER,GENM
2021,2021,DE,Delaware,BRFSS,Arthritis,Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,Crude Prevalence,Gender,Male,10,ART,ART5_0,CRDPREV,GENDER,GENM
2020,2020,MT,Montana,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who are obese,Crude Prevalence,Gender,Male,30,ART,ART1_2,CRDPREV,GENDER,GENM
2016,2016,AR,Arkansas,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Male,05,AST,AST2_1,NMBR,GENDER,GENM
2017,2017,AZ,Arizona,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Male,04,AST,AST2_1,NMBR,GENDER,GENM
2016,2016,CA,California,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Race/Ethnicity,"Black, non-Hispanic",06,AST,AST2_1,NMBR,RACE,BLK
2015,2015,CO,Colorado,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Race/Ethnicity,Hispanic,08,AST,AST2_1,NMBR,RACE,HIS
2017,2017,CO,Colorado,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Male,08,AST,AST2_1,NMBR,GENDER,GENM
2014,2014,CT,Connecticut,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Race/Ethnicity,Hispanic,09,AST,AST2_1,NMBR,RACE,HIS
2016,2016,DE,Delaware,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Female,10,AST,AST2_1,NMBR,GENDER,GENF
2014,2014,FL,Florida,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Overall,Overall,12,AST,AST2_1,NMBR,OVERALL,OVR
2016,2016,FL,Florida,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Race/Ethnicity,"Black, non-Hispanic",12,AST,AST2_1,NMBR,RACE,BLK
2017,2017,FL,Florida,SEDD; SID,Asthma,Emergency department visit rate for asthma,Age-adjusted Rate,Race/Ethnicity,Hispanic,12,AST,AST2_1,AGEADJRATE,RACE,HIS
2018,2018,FL,Florida,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Male,12,AST,AST2_1,NMBR,GENDER,GENM
2016,2016,LA,Louisiana,SEDD; SID,Asthma,Emergency department visit rate for asthma,Crude Rate,Race/Ethnicity,"White, non-Hispanic",22,AST,AST2_1,CRDRATE,RACE,WHT
2015,2015,MI,Michigan,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Male,26,AST,AST2_1,NMBR,GENDER,GENM
2016,2016,MI,Michigan,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Female,26,AST,AST2_1,NMBR,GENDER,GENF
2016,2016,MN,Minnesota,SEDD; SID,Asthma,Emergency department visit rate for asthma,Age-adjusted Rate,Overall,Overall,27,AST,AST2_1,AGEADJRATE,OVERALL,OVR
2017,2017,MN,Minnesota,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Male,27,AST,AST2_1,NMBR,GENDER,GENM
2017,2017,MS,Mississippi,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Race/Ethnicity,"Black, non-Hispanic",28,AST,AST2_1,NMBR,RACE,BLK
2014,2014,NC,North Carolina,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Race/Ethnicity,"Black, non-Hispanic",37,AST,AST2_1,NMBR,RACE,BLK
2014,2014,NE,Nebraska,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Female,31,AST,AST2_1,NMBR,GENDER,GENF
2016,2016,NE,Nebraska,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Race/Ethnicity,"White, non-Hispanic",31,AST,AST2_1,NMBR,RACE,WHT
2015,2015,NM,New Mexico,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Female,35,AST,AST2_1,NMBR,GENDER,GENF
2016,2016,NM,New Mexico,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Overall,Overall,35,AST,AST2_1,NMBR,OVERALL,OVR
2014,2014,OH,Ohio,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Race/Ethnicity,Hispanic,39,AST,AST2_1,NMBR,RACE,HIS
2018,2018,OH,Ohio,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Male,39,AST,AST2_1,NMBR,GENDER,GENM
2013,2013,OR,Oregon,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Male,41,AST,AST2_1,NMBR,GENDER,GENM
2018,2018,OR,Oregon,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Gender,Male,41,AST,AST2_1,NMBR,GENDER,GENM
2014,2014,RI,Rhode Island,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Race/Ethnicity,"White, non-Hispanic",44,AST,AST2_1,NMBR,RACE,WHT
2015,2015,SD,South Dakota,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Overall,Overall,46,AST,AST2_1,NMBR,OVERALL,OVR
2014,2014,TN,Tennessee,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Overall,Overall,47,AST,AST2_1,NMBR,OVERALL,OVR
2010,2010,VT,Vermont,SEDD; SID,Asthma,Emergency department visit rate for asthma,Number,Overall,Overall,50,AST,AST2_1,NMBR,OVERALL,OVR
2018,2018,AL,Alabama,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Female,01,AST,AST3_1,NMBR,GENDER,GENF
2014,2014,AZ,Arizona,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Overall,Overall,04,AST,AST3_1,NMBR,OVERALL,OVR
2010,2010,CO,Colorado,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Race/Ethnicity,"White, non-Hispanic",08,AST,AST3_1,NMBR,RACE,WHT
2014,2014,CO,Colorado,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Female,08,AST,AST3_1,NMBR,GENDER,GENF
2016,2016,DC,District of Columbia,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Race/Ethnicity,"Black, non-Hispanic",11,AST,AST3_1,NMBR,RACE,BLK
2015,2015,DE,Delaware,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Race/Ethnicity,Hispanic,10,AST,AST3_1,NMBR,RACE,HIS
2018,2018,FL,Florida,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Race/Ethnicity,Hispanic,12,AST,AST3_1,NMBR,RACE,HIS
2014,2014,GA,Georgia,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Female,13,AST,AST3_1,NMBR,GENDER,GENF
2017,2017,GU,Guam,SEDD; SID,Asthma,Hospitalizations for asthma,Crude Rate,Overall,Overall,66,AST,AST3_1,CRDRATE,OVERALL,OVR
2017,2017,HI,Hawaii,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Overall,Overall,15,AST,AST3_1,NMBR,OVERALL,OVR
2015,2015,ID,Idaho,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Male,16,AST,AST3_1,NMBR,GENDER,GENM
2014,2014,IL,Illinois,SEDD; SID,Asthma,Hospitalizations for asthma,Crude Rate,Gender,Male,17,AST,AST3_1,CRDRATE,GENDER,GENM
2018,2018,IL,Illinois,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Male,17,AST,AST3_1,NMBR,GENDER,GENM
2014,2014,KY,Kentucky,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Race/Ethnicity,"Black, non-Hispanic",21,AST,AST3_1,NMBR,RACE,BLK
2014,2014,LA,Louisiana,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Overall,Overall,22,AST,AST3_1,NMBR,OVERALL,OVR
2018,2018,LA,Louisiana,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Overall,Overall,22,AST,AST3_1,NMBR,OVERALL,OVR
2014,2014,ME,Maine,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Male,23,AST,AST3_1,NMBR,GENDER,GENM
2016,2016,MI,Michigan,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Race/Ethnicity,American Indian or Alaska Native,26,AST,AST3_1,NMBR,RACE,AIAN
2018,2018,MO,Missouri,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Female,29,AST,AST3_1,NMBR,GENDER,GENF
2014,2014,ND,North Dakota,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Race/Ethnicity,"Black, non-Hispanic",38,AST,AST3_1,NMBR,RACE,BLK
2010,2010,NE,Nebraska,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Overall,Overall,31,AST,AST3_1,NMBR,OVERALL,OVR
2014,2014,NJ,New Jersey,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Race/Ethnicity,"White, non-Hispanic",34,AST,AST3_1,NMBR,RACE,WHT
2018,2018,NJ,New Jersey,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Race/Ethnicity,Hispanic,34,AST,AST3_1,NMBR,RACE,HIS
2014,2014,NV,Nevada,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Race/Ethnicity,"White, non-Hispanic",32,AST,AST3_1,NMBR,RACE,WHT
2016,2016,NY,New York,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Male,36,AST,AST3_1,NMBR,GENDER,GENM
2015,2015,OH,Ohio,SEDD; SID,Asthma,Hospitalizations for asthma,Crude Rate,Race/Ethnicity,Hispanic,39,AST,AST3_1,CRDRATE,RACE,HIS
2017,2017,OH,Ohio,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Race/Ethnicity,Asian or Pacific Islander,39,AST,AST3_1,NMBR,RACE,API
2015,2015,OK,Oklahoma,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Overall,Overall,40,AST,AST3_1,NMBR,OVERALL,OVR
2016,2016,OR,Oregon,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Female,41,AST,AST3_1,NMBR,GENDER,GENF
2013,2013,PR,Puerto Rico,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Overall,Overall,72,AST,AST3_1,NMBR,OVERALL,OVR
2010,2010,SD,South Dakota,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Female,46,AST,AST3_1,NMBR,GENDER,GENF
2013,2013,SD,South Dakota,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Gender,Male,46,AST,AST3_1,NMBR,GENDER,GENM
2010,2010,TN,Tennessee,SEDD; SID,Asthma,Hospitalizations for asthma,Number,Overall,Overall,47,AST,AST3_1,NMBR,OVERALL,OVR
